gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
CAPG	3.43979717191035	0.50979930210962	-2.92999786980072	477	155	263	15	0.551362683438155	0.0967741935483871	9.95671627226544e-23	1.17494147400762e-25	1.31624381642733e-21	1.64676832520495e-44	4.79884487685954e-42
NPR3	2.70180527686137	0.29859645280867	-2.4032088240527	477	155	244	11	0.511530398322851	0.0709677419354839	6.66636521203359e-22	8.81413472112013e-26	2.03556373452071e-21	1.90782287270269e-44	5.46991280405854e-42
CD99	3.34791824005506	6.66413242331818	3.31621418326312	477	155	281	139	0.589098532494759	0.896774193548387	3.64288210906921e-12	6.47190386252319e-14	4.25110232595673e-33	2.91378611928354e-44	8.22150191371177e-42
LOC100506844	5.89608714179431	2.40187801403086	-3.49420912776345	477	155	422	75	0.884696016771488	0.483870967741935	1.25129288831528e-25	2.17643796409842e-23	8.11382829789174e-23	1.83740291936002e-43	5.10338660852246e-41
CALM1	3.81827291139802	6.78993231895521	2.9716594075572	477	155	300	146	0.628930817610063	0.941935483870968	2.3497058196629e-13	3.62144648908439e-16	7.9400444582654e-30	2.97781394530188e-43	8.14363395256712e-41
CTSW	2.88650851950879	0.18826883206757	-2.69823968744122	477	155	222	7	0.465408805031447	0.0451612903225806	7.968597944159e-21	1.34055585645721e-25	2.34522807203716e-20	3.25302998309879e-43	8.76149408781274e-41
NUCB2	5.57939660507442	1.86113539157667	-3.71826121349775	477	155	406	70	0.851153039832285	0.451612903225806	3.57057248372038e-23	1.38576192376076e-21	2.95394650305045e-24	4.22474148324625e-43	1.12088066576396e-40
CCL17	0	1.03766425963889	1.03766425963889	477	155	0	32	0	0.206451612903226	1.98242059605672e-23	2.08695917318016e-21	2.65864036120259e-24	5.70953533794256e-43	1.49253970834216e-40
ANXA2	3.43226739557902	6.91602019439081	3.48375279881179	477	155	273	146	0.572327044025157	0.941935483870968	6.30149659133818e-17	2.46515879669617e-20	4.5558929783858e-25	1.14778178739856e-42	2.95695203663721e-40
FAIM3	0.0664119199617242	1.71693867007894	1.65052675011722	477	155	6	40	0.0125786163522013	0.258064516129032	9.88346387326613e-24	1.42795544757288e-20	1.00960527641853e-24	1.46975426159045e-42	3.73233596486169e-40
GIMAP7	0.250226223179443	2.06132251008296	1.81109628690352	477	155	28	59	0.0587002096436059	0.380645161290323	2.01142680787769e-23	1.28431242473064e-20	1.5653923920399e-24	2.04292943458244e-42	5.11480473649824e-40
CLDN10	2.39435860024001	0.0139232084831714	-2.38043539175684	477	155	191	2	0.40041928721174	0.0129032258064516	2.25577402732594e-19	6.78816410275307e-26	3.01717967567169e-19	2.08081584983516e-42	5.13730313148192e-40
HLA-DQB1	3.20454973220951	6.31346391985745	3.10891418764794	477	155	274	147	0.574423480083857	0.948387096774194	2.27370606325531e-17	3.07031495002252e-21	1.72389433069496e-23	5.3271636001033e-42	1.29720082404707e-39
CD52	6.14427865648126	9.74333442151855	3.59905576503728	477	155	393	154	0.823899371069182	0.993548387096774	1.58292610098621e-07	3.80359420382703e-10	2.5618428833209e-34	9.74782299442245e-42	2.34158515606559e-39
SERPINB1	6.5682141768089	3.3663848845513	-3.20182929225759	477	155	456	98	0.955974842767296	0.632258064516129	8.23781364165431e-26	1.70279896549444e-22	1.82265832394008e-21	3.06881638300202e-41	7.27350400323251e-39
TESPA1	3.13605939791896	0.508087818672014	-2.62797157924694	477	155	288	27	0.60377358490566	0.174193548387097	3.57078293393968e-20	1.55447636186772e-21	4.6982383892474e-22	7.15890204349649e-41	1.67442950954202e-38
LOC101928834	2.3149606458154	0.031385000640935	-2.28357564517447	477	155	179	1	0.375262054507338	0.00645161290322581	2.41234902831973e-18	4.0062563451207e-25	3.3081606860855e-18	1.29123193032426e-40	2.98090114200573e-38
DTD1	2.44598960913499	0.067826707902305	-2.37816290123269	477	155	202	5	0.423480083857442	0.032258064516129	4.75747131421423e-19	4.41287589895609e-24	3.26616915001465e-19	1.40302425285025e-40	3.19745629726487e-38
C6orf25	2.89502761061869	0.466758213322113	-2.42826939729658	477	155	372	65	0.779874213836478	0.419354838709677	7.29901997050941e-17	3.45372528473719e-16	4.89259016149375e-27	1.64218214240638e-40	3.69511769157163e-38
TALDO1	6.4421682098565	2.88911664680085	-3.55305156305564	477	155	435	85	0.911949685534591	0.548387096774194	2.51396880398621e-24	8.12718649867157e-22	2.8507606087087e-21	2.2443103628095e-40	4.9868576261627e-38
MPL	5.22092527904793	1.24386406712489	-3.97706121192304	477	155	413	87	0.865828092243187	0.561290322580645	1.35590145840088e-15	2.86794869616843e-14	8.55536355002348e-29	2.37538806108147e-40	5.21295039182521e-38
ZFAS1	6.57679277872565	3.0243332986653	-3.55245948006035	477	155	447	93	0.937106918238994	0.6	1.83548829223203e-24	1.40138650447052e-21	2.05052937886868e-21	2.77740573215261e-40	6.02087369448107e-38
B2M	13.2160026227307	14.3534311032125	1.13742848048182	477	155	477	155	1	1	NA	1	5.39511162595697e-42	5.18055238594937e-40	1.10951203870646e-37
PRX	0.029133840373639	1.10372991383425	1.07459607346062	477	155	5	37	0.010482180293501	0.238709677419355	2.35847386581439e-22	2.05175944929901e-19	2.67201847663854e-23	5.26343166045532e-40	1.1138423951935e-37
PRDX2	4.47379454217326	1.22576258633728	-3.24803195583599	477	155	348	46	0.729559748427673	0.296774193548387	1.11617047177213e-21	2.18360455568565e-21	2.92956539094557e-21	6.13171178226772e-40	1.28232127813636e-37
CD164	6.6214737700114	3.00936856764873	-3.61210520236266	477	155	445	98	0.932914046121593	0.632258064516129	3.08514954152971e-20	5.81297586633354e-18	2.17149853395178e-24	1.20135707553979e-39	2.4831771366041e-37
SELL	4.59100977010241	1.3221177128753	-3.26889205722711	477	155	382	63	0.80083857442348	0.406451612903226	2.36828331580654e-20	2.93052921489433e-19	6.43948978837651e-23	1.78843314307334e-39	3.65415948865191e-37
ANGPT1	2.05326946482008	0.0438082333950234	-2.00946123142506	477	155	181	2	0.379454926624738	0.0129032258064516	5.65793533816436e-18	4.15550599497602e-24	7.26230012372915e-18	2.84587909023781e-39	5.74867576228037e-37
HLA-DQB2	0.79730494220071	2.50942442136985	1.71211947916914	477	155	170	113	0.356394129979036	0.729032258064516	1.12620897916669e-15	6.45653852677852e-16	1.96499678617715e-24	1.14897750892956e-37	2.26935824430354e-35
FCER1A	3.02826974426236	0.234839260043605	-2.79343048421876	477	155	248	18	0.519916142557652	0.116129032258065	2.08636287813471e-18	9.66323637719562e-21	1.38457714502854e-19	1.21097392701258e-37	2.36552445346985e-35
DFFB	3.23102223172232	4.82999403329787	1.59897180157555	477	155	460	154	0.964360587002096	0.993548387096774	0.105242154047477	0.0900839430060576	1.65183367535062e-38	1.34523537486946e-37	2.59922869822604e-35
HLA-DOB	0.0423535783638143	1.3248804080325	1.28252682966869	477	155	4	34	0.00838574423480084	0.219354838709677	5.2353955510825e-21	2.67457946275131e-18	6.19512601051172e-22	1.49614413449271e-37	2.85972668115511e-35
LINC01346	1.82896631665737	4.79843497411218	2.96946865745481	477	155	183	118	0.383647798742138	0.761290322580645	6.17479090435578e-16	1.76941796733225e-16	1.03498259336122e-23	1.6517705304271e-37	3.12360350519916e-35
CEP104	2.91696846660689	4.60458809179941	1.68761962519252	477	155	439	155	0.920335429769392	1	0.000603206716595713	2.13196632019196e-05	1.84953621038058e-34	3.52631228920685e-37	6.52955492218136e-35
GAB1	0.16296044509508	1.70440877359506	1.54144832849998	477	155	22	50	0.0461215932914046	0.32258064516129	1.93441359200329e-20	6.81357518087499e-18	7.51095402484407e-22	4.5633080461872e-37	8.36261482773439e-35
F13A1	0.0260233869750418	1.23648475608825	1.21046136911321	477	155	2	31	0.00419287211740042	0.2	1.25091501325834e-20	3.41797326252462e-18	1.76768985495964e-21	5.37743254737993e-37	9.75400417981893e-35
